datetime,second,joy_x,joy_z,tempo,bgm_start,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,tempMPU9250
2019-12-12 19:17:09.047043,10.573701,0.0,0.0,0,0,0.43,0.21,0.88,-19.10,-24.60,3.60,-12.16,62.84,77.20,30.58
2019-12-12 19:17:09.175804,10.702445,0.0,0.0,0,0,-0.03,0.06,-0.01,-27.47,89.23,22.28,-15.38,67.53,76.03,30.58
2019-12-12 19:17:09.279827,10.806467,0.0,0.0,0,0,0.80,-0.22,2.33,114.32,-79.53,-28.44,-117.19,106.93,3.22,30.58
2019-12-12 19:17:09.383575,10.910217,0.0,0.0,0,0,0.07,0.21,0.35,95.76,-72.69,-40.47,-47.17,74.71,93.75,30.58
2019-12-12 19:17:09.497667,11.024305,0.0,0.0,0,0,0.33,0.20,0.87,-37.11,0.12,23.62,-27.54,68.26,88.77,30.68
2019-12-12 19:17:09.601258,11.127896,0.0,0.0,0,0,0.07,0.20,0.37,-13.06,43.76,49.44,-40.28,73.97,85.11,30.68
2019-12-12 19:17:09.704912,11.231546,0.0,0.0,0,0,0.67,-0.14,2.20,84.05,-65.49,-68.30,-101.22,97.12,-10.40,30.73
2019-12-12 19:17:09.808529,11.335172,0.0,0.0,0,0,0.07,0.28,0.39,51.45,-68.91,-16.97,-39.55,69.43,75.88,30.78
2019-12-12 19:17:09.912548,11.439185,0.0,0.0,0,0,0.33,0.27,0.89,-34.97,1.77,18.80,-19.04,63.57,72.36,30.49
2019-12-12 19:17:10.043585,11.570253,0.0,0.0,0,0,0.21,0.21,0.56,-45.72,47.06,14.95,-27.39,67.53,71.92,30.68
2019-12-12 19:17:10.147284,11.673967,0.0,0.0,0,0,0.76,-0.00,2.36,-44.49,3.54,18.55,-111.18,94.48,-13.33,30.73
2019-12-12 19:17:10.261521,11.788195,0.0,0.0,0,0,0.08,0.16,0.59,106.99,-85.21,-24.48,-75.59,85.25,70.02,30.87
2019-12-12 19:17:10.365064,11.891736,0.0,0.0,0,0,0.23,0.23,0.92,-37.35,-5.98,10.99,-38.23,72.80,80.42,30.68
